Chunk,Embedding (first 10 dims)
"yapılır
Addon - Onay Mekanizması
ERP ler desteklemez
ile ilgili ödeme koşulları, Cari Kartlarda 
nmalı sipariş yaratılırken öneri olarak gelmeli, 
parişe özel koşullar tanımlanabilmelidir.
Olsa iyi olur
Tamamen karşılar
Tamamen karşılar
lardaki bilgi alanları, zorunlu ya da opsiyonel 
nımlanabilmelidir.
Olmazsa 
Olmaz
Paralı Ek Danışmanlık ile 
yapılır
Addon-Zorunlu alan kontrolü: İşlem anında 
eksik bilgi kontrolü yapılıyor, kart 
tanımlarken mevcut değil, geliştirmeler ile","[ 0.0068576  -0.00681058  0.00194178  0.02436307 -0.06491893 -0.0085828
  0.08089879  0.0353029   0.06027161 -0.05048865]"
"eksik bilgi kontrolü yapılıyor, kart 
tanımlarken mevcut değil, geliştirmeler ile 
hangi alanların zorunlu kılınacağının 
tanımlaması yapılabilir
Tamamen karşılar
Gelir Tablosu ve Mizan anlık olarak alınabilmeli, 
mlamalarını kullanıcılar yapabilmeli, mizan 
erenler, Alacak yada Borç bakiyesi verenlere 
abilmelididr.
Olmazsa 
Olmaz
Tamamen karşılar
Tamamen karşılar
erkezleri ile aynı mantıkla Proje Kodları 
abilmeli, Muhasebe fişlerinde kaydedilen giderler","[-0.01022876 -0.00101293  0.00227454  0.03716142 -0.08536623 -0.01983061
  0.08001387  0.07208224  0.03327668 -0.03698251]"
"erkezleri ile aynı mantıkla Proje Kodları 
abilmeli, Muhasebe fişlerinde kaydedilen giderler 
an bu Proje kodları ile ilişkilendirilebilmeli ve 
uralarınada ait olduğu Proje kodunun 
abilmesi ve Proje Karlılık Raporlarının bu 
dirmeler ile oluşturulması gerekmektedir.
Olmazsa 
Olmaz
Tamamen karşılar
Tamamen karşılar
arişlerinde girilmiş ödeme Planları ile ödeme 
ndaki vadeler kullanılarak cari Hesapların vade 
bakiyeleri anlık Raporlanabilmelidir.
Olmazsa 
Olmaz
Paralı Ek Danışmanlık ile","[-0.01231826  0.02055862 -0.01407964  0.06243857 -0.0740684   0.01764176
  0.04349285  0.10177449  0.02055609  0.01796789]"
"bakiyeleri anlık Raporlanabilmelidir.
Olmazsa 
Olmaz
Paralı Ek Danışmanlık ile 
yapılır
Addon-Ödeme Planı
Tamamen karşılar
limatları sistemden yazdırılabilmelidir.
Olsa iyi olur
Tamamen karşılar
Mektupları sistem üzerinde takip edilebilmelidir.
Olsa iyi olur
Geliştirme Paralı Ek Danışmanlık ile 
yapılır
Tamamen karşılar
er için kredi limitleri türlerine göre (Konsinye, 
Hs., Çek, Senet ) geçerlilik üreleri belirtilerek 
abilmeli ve bu türlere göre risk takibi 
melidir.
Olmazsa 
Olmaz","[ 0.01188466  0.03513034 -0.03259585  0.0645977  -0.03440804  0.04539597
  0.03111432  0.09930799 -0.00716942 -0.00291588]"
"abilmeli ve bu türlere göre risk takibi 
melidir.
Olmazsa 
Olmaz
Paralı Ek Danışmanlık ile 
yapılır
Çek senette müşteri çeki/ciro çeki 
geliştirmesi yapılacak, ayrıca konsinye mal 
riski de eklenecek
Paralı Ek Danışmanlık ile 
yapılır
efterler sistem üzerinden döktürülebilmelidir.
Olmazsa 
Olmaz
Tamamen karşılar
Tamamen karşılar
porlar Excell file olarak kaydedilebilmelidir.
Olmazsa 
Olmaz
Tamamen karşılar
Grid üzerinden veriler aktarılabiliyor, rapor 
önizleme ekranından ise mümkün değil,","[-0.02644807  0.08923569 -0.06465118  0.02584661 -0.00476927  0.01496331
  0.0337475   0.10737408 -0.00805956  0.01437558]"
"Grid üzerinden veriler aktarılabiliyor, rapor 
önizleme ekranından ise mümkün değil, 
gridlerden excel e aktarım yeterli bulundu
Tamamen karşılar
zerinden mahsup fişleri üzerinde girilecek ekstra 
kullanılarak Yüklenilen KDV Listesi alınablmeli
Olmazsa 
Olmaz
Paralı Ek Danışmanlık ile 
yapılır
Rapor geliştirilecek
Tamamen karşılar
 
 
99
 
Referans No
ERP İLE İLGİLİ TALEPLER
S
a
h
a
Ş
u
a
n
Görüş
Size
Açıklama
Navision Çözümü bu 
ihtiyacı karşılıyor mu ?
L
i
s
a
G
el
iş
ti
G
e
l
i","[ 0.04202124  0.04123643 -0.03245221  0.00531101 -0.05283198 -0.00463737
  0.04445949  0.06373777  0.01291913  0.03673926]"
"Ş
u
a
n
Görüş
Size
Açıklama
Navision Çözümü bu 
ihtiyacı karşılıyor mu ?
L
i
s
a
G
el
iş
ti
G
e
l
i
Navision Durumu
JD Edwards Çözümü 
bu ihtiyacı karşılıyor 
mu ?
JD Edwards Durumu
A
SATIŞ  FONKSİYONLARI
A.1
Ürün ağacı
Olmazsa 
olmaz
A.2
Ürün kodu oluşturma
Olmazsa 
olmaz
A.2.1
a) Ortak bir birim, butun kodlari acmakla yetkili olur
Olsa iyi olur
Tamamen karşılar
Tamamen karşılar
A.2.2
b) Her birim kendi kodlarini acip, kullanir ve diger 
birimler bu kodlari gormez veya işlem onerilecek diger","[ 0.03973931  0.06383745  0.04183325  0.01089306 -0.13257435 -0.04771446
  0.06390303  0.04710937  0.06950759  0.00209536]"
"birimler bu kodlari gormez veya işlem onerilecek diger 
bir model uzerinde gerceklestirilir
Olsa iyi olur
Örnek: Lojistik sirket disindaki musterilerin islemlerini yaparken, bu musterilerin kodlarini 
kullaniyor olabilir, bu durumda sirket disi musteri kodlarinin ayri olarak tutulmasi gerekmektedir.
Paralı Ek Danışmanlık 
ile yapılır
Tamamen karşılar
A.2.3
c) Sipariste yanlis olusturulmus kodlar yerine dogru kod 
substitute mantigi ile getirilmeli, yanlis kod girilmesine","[-0.06050764 -0.00555032 -0.01802913 -0.01182584 -0.09320915 -0.0316098
  0.07039146  0.04068648  0.04985827 -0.04756244]"
"substitute mantigi ile getirilmeli, yanlis kod girilmesine 
izin verilmemelidir.  Boylece planlamaci her defasinda 
yanlis kod duzeltmek icin siparisi red etmek yerine, 
yanlizca bir defa substitute tanimlayarak konfiguratorun 
dogru islemesini saglayacaktir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Öneri: Kodlama sistematiği değiştirilerek 
yanlış kod verme ihtimalinden kaçınılabilir.
Tamamen karşılar
A.2.4
d) Yanlis kod girilmesini onleyecek seceneklere gore","[-0.05510381  0.0068936   0.02710372 -0.00086916 -0.08371247  0.0090804
  0.07129203  0.04199819  0.04041412 -0.07587163]"
"Tamamen karşılar
A.2.4
d) Yanlis kod girilmesini onleyecek seceneklere gore 
kod olusturacak bir sistem olmali ve sistem kod'un 
taniminida otomatik text olarak hazirlamalidir
Olmazsa 
olmaz
Sistem gerektigi durumda kendi iceriklerine gore veya urunun kullanim alanina gore olusturalacak 
kodu kendi belirleyebilmelidir.
Paralı Ek Danışmanlık 
ile yapılır
Tamamen karşılar
A.2.5
e) Urun kodlari iliskilendirilebilmeli.
Olmazsa 
olmaz
Urun agac yapisi ve uyumluluga gore kategorize edilebilmeli.","[-0.00233913  0.09618936  0.02735994  0.04548043 -0.07806784 -0.01802715
  0.02977276  0.01189495  0.06053983 -0.01139798]"
"Olmazsa 
olmaz
Urun agac yapisi ve uyumluluga gore kategorize edilebilmeli.
Paralı Ek Danışmanlık 
ile yapılır
BOM tanımına, uyumluluk kriterleri de 
eklenecek
Tamamen karşılar
A.3
Teklif yönetimi
A.3.1
a) Sistem üzerinden teklif üretebilme
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Normal teklif girişi mevcut, fakat ihtiyaç olan 
teklif üretme sistemi Install/Uninstall add on 
u ile ilişkilendirilecek
Tamamen karşılar
A.3.2
b) Teklif no üretebilme
Olmazsa 
olmaz
Tamamen Karşılar","[-0.0138151   0.04985471  0.01334289 -0.01737442 -0.06788266 -0.07287145
  0.03989464  0.03277099  0.0266821  -0.03015744]"
"Tamamen karşılar
A.3.2
b) Teklif no üretebilme
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.3.3
c) Döküman ekleme
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
İş ilişkileri modülünde doküman ekleme 
mevcut. Diğer modüllerde excel, word 
dökümanı ekleme fonksiyonundan vazgeçildi Tamamen karşılar
A.3.4
d) Revize edebilme
Olmazsa 
olmaz
Revize numaralarini sistemin kendisinin atamasi ve revize tekliflerin sistemde saklanmasi
Tamamen Karşılar
Tamamen karşılar
A.3.5","[-0.03445091  0.0760371   0.04385546 -0.00324299 -0.08523954 -0.05090259
  0.00243192  0.02540466  0.07097603 -0.00515318]"
"Tamamen Karşılar
Tamamen karşılar
A.3.5
e) Müşteriye özel teklif oluşturulabilmeli
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.3.6
f) Teklif takibi ve sonuç analizi (Açık / Kapalı)
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.3.7
g) Siparişe dönüşmeyen teklifler takip edilebilmeli ve 
gerekçeleri analiz edilebilmelidir.
Olmazsa 
olmaz
Teklif/Satis gibi.
Tamamen Karşılar
Tamamen karşılar
A.3.8
h) Para birimi yönetimi (USD -> TL -> €)
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar","[-0.00913436  0.04830807  0.01609213 -0.0225591  -0.08403857 -0.03943472
  0.03371779  0.08298611  0.05859543 -0.01785562]"
"A.3.8
h) Para birimi yönetimi (USD -> TL -> €)
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.3.9
i) Teklif -> Sipariş dönüşümü yapılabilmeli
Olmazsa 
olmaz
Teklifin musteri tarafindan okeylenmesi durumunda teklif tek bir tusla sistemde siparis olarak 
keydedilebilmeli.
Tamamen Karşılar
Tamamen karşılar
A.3.10
j) Fax fonksiyonu / e-mail fonksiyonu
Olmazsa 
olmaz
Sistemde olusturulan Fiyat Bilgisi ve Satis Sozlesmesi sistem tarafindan musteriye fax / e-mail le 
gonderilebilmeli","[-0.04135608  0.04362173 -0.0127004  -0.05355491 -0.1000504  -0.09700453
  0.06750887  0.03598084  0.07896753 -0.05725612]"
"gonderilebilmeli
Tamamen Karşılar
Tamamen karşılar
A.3.11
k) Sistemde olusturulan tekliflerin otomatik olarak Sales 
Funnel'a (pipeline) islenmesi
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.3.12
l) Tekliflerin arkasina teklife gore otomatik olarak 
teklifin gecerliligi ve fiyatlarin gecerliligi ile bilgiler 
eklenmeli (Satis Sozlesmesi)
Olmazsa 
olmaz
Teklif olusturulurken musterisine gore satis temsilcisi tarafindan teklifin gecerlilik suresi, teklifin","[-0.00206497  0.07736054 -0.04658565 -0.01979913 -0.1040819  -0.0233827
  0.00870662  0.05786834  0.03477691 -0.06949978]"
"genel sartlari ve musterinin eger bir Satis Sozlesmesi formu yoksa ayni zamanda musterinin Satis 
Sozlesmesi'su olacak sekilde bilgiler sistem tarafindan ekletilmeli.
Paralı Ek Danışmanlık 
ile yapılır
Satış sözleşmesi ile entegrasyon isteğinin 
niteliğine göre ek geliştirme gerekebilir.
Tamamen karşılar
A.3.13
m) Bir kampanya veya proje kapsaminda ise bu 
iliskilendirilmeli.
Olmazsa 
olmaz
Yapilan bir urun aktivitesi sonrasinda uretilecek olan tekliflerin hangi kampanya veya proje","[-0.03756952  0.07315909 -0.06006637  0.03469555 -0.09830531  0.0115188
  0.07282843  0.05383117  0.01332464  0.00116742]"
"olmaz
Yapilan bir urun aktivitesi sonrasinda uretilecek olan tekliflerin hangi kampanya veya proje 
dahilinde uretildiginin takip edilmesi.
Tamamen Karşılar
Tamamen karşılar
A.4
Fiyat belirleme / Fiyat listeleri
A.4.1
a) Fiyat listelerinin sistemde oluşturulabilmesi
Olmazsa 
olmaz
Kısmen Karşılar
fiyat listeleri tanımlanabilmekte. Fakat 
üzerine binen işçilik değerlerinin hesaplanma 
yöntemindeki isteklere göre ek danışmanlık 
gerekebilir.
Tamamen karşılar
A.4.2","[-0.01679336  0.07626121 -0.00489952  0.02751412 -0.06822634 -0.01438224
  0.07300414  0.07662787  0.03178437 -0.02955912]"
"yöntemindeki isteklere göre ek danışmanlık 
gerekebilir.
Tamamen karşılar
A.4.2
b) Ürünler için standart fiyat ve / veya özel müşteri fiyatı 
tanımlanabilmelidir.
Olmazsa 
olmaz
veya indirim oranlari
Tamamen Karşılar
Tamamen karşılar
A.4.3
c) Standart fiyatlar ve indirimler(yüzde ya da miktar) 
farklı indirim koşulları ile tanımlanabilmelidir.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.4.4
d) Fiyat Listelerinde özel olarak fiyat tipleri 
tanımlanabilmeli ve bunlar yetkilere göre","[-0.01620365  0.08008877  0.02515515  0.01378398 -0.01769038  0.0278193
  0.04382425  0.08037453  0.02677264 -0.02990615]"
"A.4.4
d) Fiyat Listelerinde özel olarak fiyat tipleri 
tanımlanabilmeli ve bunlar yetkilere göre 
görüntülenebilmelidir.
Olmazsa 
olmaz
Bu yetkiler yuzdesel olarak ve/veya rakamsal olarak siparis uzerinde ifade edilebilmelidir. (SM 
yetkilisi, GM yetkisi vs...)
Paralı Ek Danışmanlık 
ile yapılır
Addon-Onay Mekanizması ile birlikte 
çözülecek
Tamamen karşılar
A.4.5
e) Tedarikçi (sözleşmeli tedarikçi) fiyat listelerinin 
sisteme real time entegre edilmesi
Olsa iyi olur","[-0.0399651   0.00642903 -0.0470981   0.05568636 -0.03212941  0.04296351
  0.03309317  0.05633675  0.01108113 -0.04083928]"
"sisteme real time entegre edilmesi
Olsa iyi olur
Entegrasyon, direkt fiyat listelerinin excel'den import edilmesi veya direkt DB'lerinden datanin 
alinmasi seklinde olabilmelidir.
Kısmen Karşılar
Excel den aktarım haricinde mümkün. Excel 
den aktarımda text format kullanılır ise yine 
mümkün
Tamamen karşılar
A.4.6
f) Sistemde install ve uninstall islemleri icin farkli fiyat 
listelerinin tutulmasi
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Install/Uninstall
Tamamen karşılar
A.4.7","[-0.04523092  0.01632786 -0.076083   -0.05087169 -0.05473429  0.03396625
 -0.00771334  0.05484239  0.02336212 -0.00524919]"
"Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Install/Uninstall
Tamamen karşılar
A.4.7
g) Sisteme girilmis olan fiyat listelerine gore urunlerin 
gecmis datalardan forecast'leri veya ortalama forecasted 
maliyet bilgileri alinabilmeli.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Rapor geliştirilecek
Tamamen karşılar
A.4.8
h) Sistemde kademeli olarak indirim yetkisi ve limiti 
tanımlanabilmelidir. (Örneğin MT %2'ye kadar Satış 
Md. %5'e kadar ayda 5000 USD'ı geçmemek üzere gibi)","[-0.02380828  0.05549239  0.01999685  0.00702159 -0.07241862 -0.0464443
  0.00352464  0.03989913  0.01241107 -0.01287895]"
"Md. %5'e kadar ayda 5000 USD'ı geçmemek üzere gibi) 
İndirim yetkisi % yetki limiti ise hem % hem de mutlak 
değer olarak ifade edilebilmelidir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Onay Mekanizması
Tamamen karşılar
A.4.9
i) Sistemde Lojistik ve Destek payı, herbir ürün ve ürün 
grubu için % (depo maliyeti üzerinden) ve mutlak değer 
olarak tanımlanabilmeli; ayrıca bu tanımlamalar belli 
zaman aralıkları için, müşteri bazında, proje bazında","[-0.01994713  0.07512282 -0.04416727  0.00700539 -0.03762071 -0.03246938
  0.04722155  0.07580867  0.03415303 -0.01329182]"
"zaman aralıkları için, müşteri bazında, proje bazında 
manuel olarak değiştirilebilmelidir. 
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Pay dağıtımı
Tamamen karşılar
A.5
Sipariş
A.5.1
Sipariş Girişi
A.5.1.1
a) Her bir kalem bazında sipariş ve sevkiyat koşulları 
tanımlanabilmelidir.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.2
b) Farklı kalemler farklı döviz cinslerinden ve farklı 
kurlardan hesaplanabilmelidir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır","[-0.02681908  0.01665753 -0.01271868  0.02228381 -0.11473148 -0.04588855
  0.06543262  0.0668295   0.00594636 -0.02785536]"
"kurlardan hesaplanabilmelidir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Normalde her satır aynı döviz kuru ve 
türünden hesaplanıyor. Her satır için farklı 
kur isteği için geliştirme gerekiyor
Tamamen karşılar
A.5.1.3
c) Müşteri talebinin stoklarda olmaması durumunda 
üretim veya tedarik için talep yaratılmalıdır.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.4
d) Sevkiyat emirleri oluşturulmalıdır.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.5","[ 0.01152748  0.04331597  0.04786078  0.01828832 -0.12452745  0.00712865
  0.03491357  0.02709783  0.01202861  0.01055927]"
"d) Sevkiyat emirleri oluşturulmalıdır.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.5
e) Ürünün stokta mevcut olmaması durumunda;
Olmazsa 
olmaz
A.5.1.5.1
    - Stoktaki urunlerin haricinde tedarik edilecek urunler 
icin eger varsa tedarikci, ozel fiyat, odeme sekli, teslim 
tarihi vb. bilgilerin girilebilecegi alanlar olmali 
Olmazsa 
olmaz
Satis temsilcisi tarafindan yapilabilecek ozellikle projelerde ihtiyac duyulan bir ozellik
Tamamen Karşılar
Tamamen karşılar
A.5.1.5.2","[-0.01863616  0.0309535   0.01406762  0.06737603 -0.09388759 -0.04536596
  0.03839218  0.07190505  0.03605503 -0.02645097]"
"Tamamen Karşılar
Tamamen karşılar
A.5.1.5.2
    - Bu bilgiler satinalma surecinde is emrine tedarik 
noktasinda donusturulebilmeli
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.6
f) Yurtdisina siparisi girilmis urunler için;
A.5.1.6.1
 - Urun konfigurasyonu, adet, fob fiyati, vb. gibi bilgiler 
siparişte bulunmalı
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Konfigüratör
Tamamen karşılar
A.5.1.6.2
    - Satinalma siparisi olusturulmali
Olmazsa 
olmaz","[-0.05385695 -0.05261241  0.04718938 -0.03488439 -0.08072567 -0.0374982
  0.07348629  0.08528224  0.04527759 -0.06626467]"
"Addon-Konfigüratör
Tamamen karşılar
A.5.1.6.2
    - Satinalma siparisi olusturulmali
Olmazsa 
olmaz
Satinalma siparisi sistemde olusturulabilmeli, urunler geldiginde bu siparis bilgilerine gore (konfig, 
adet vs..) stoga alinabilmeli
Tamamen Karşılar
Tamamen karşılar
A.5.1.6.3
 - Ürunlerin statu kontrolu (yol, kara, hava, gumruk...) 
yapilabilmeli
Olmazsa 
olmaz
Satialma siparisine gore yurtdisi siparisi girilen urunlerin Backlog u takip edilebilme yetenegi
Tamamen Karşılar
Tamamen karşılar","[-0.08729953 -0.05441587  0.02454823 -0.0128197  -0.07838992 -0.00471211
  0.07108243  0.06570058  0.01041779 -0.06222867]"
"Tamamen Karşılar
Tamamen karşılar
A.5.1.6.4
    - Manuel olarak rezerve yapilabilmeli (stoktaki urunu 
manuel rezerve ettigimiz gibi)
Olmazsa 
olmaz
Teklifi verilen urınlerin musteriden siparisi gelene kadar gecen sure icinde gerekli durumlarda 
depolardaki urunler veya serbest bolge/gumruk veya yoldaki urunler uzerine musteri adi, mt, adet 
bilgileriyle manuel rezerve konulabilme yetenegi
Tamamen Karşılar
Tamamen karşılar
A.5.1.6.5
- Y.Disi Tedarik bekleyen siparislerin sisteme girilen","[-0.0977189   0.00272735  0.01174475 -0.02614706 -0.11799215 -0.03626403
  0.00849478  0.06384556 -0.00373323 -0.05331828]"
"Tamamen Karşılar
Tamamen karşılar
A.5.1.6.5
- Y.Disi Tedarik bekleyen siparislerin sisteme girilen 
bilgiler isiginda sevkiyat tarihi verilebilmeli.
Olmazsa 
olmaz
Siparis bazinda statu kontrolu yapilabilmeli.
Kısmen Karşılar
Tamamen karşılar
A.5.1.7
g) Satınalma aktivitesinin hangi proje aktivitesine ilişkin 
olduğunu tanımlanabilmesi gerekir.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.8
h) Muhtemel üretim-sevk tarihi bilgisi sistem tarafından 
verilmelidir.
Olmazsa 
olmaz","[-0.04226857  0.04320386  0.05413641  0.0097535  -0.07429145 -0.01254726
  0.04955242  0.04499594  0.03759798 -0.02062538]"
"A.5.1.8
h) Muhtemel üretim-sevk tarihi bilgisi sistem tarafından 
verilmelidir.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.9
i) Teslimat tarihi girilebilmeli ve bu surecin ciktilari 
izlenebilmeli
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.10
j) Siparişler arasında ""öncelik"" tanımlanabilmeli (teslim 
tarihi, vs)
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Öncelik kriterinin ne olacağına göre ek 
geliştirme gerekebilir
Tamamen karşılar
A.5.1.11","[-0.06062748  0.0530101   0.07254427  0.00125869 -0.05341578 -0.01459458
  0.04129647  0.02266741  0.05649214 -0.07180393]"
"Öncelik kriterinin ne olacağına göre ek 
geliştirme gerekebilir
Tamamen karşılar
A.5.1.11
k) Siparişler üzerinde değişiklik yapıldığı takdirde
Olmazsa 
olmaz
A.5.1.11.1
    - Değişiklik tarihi, değiştirilen veri (önceki ve sonraki 
durum) ve kimin tarafından değiştirildiği 
izlenebilmelidir.
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.11.2
    - Fatura kesilmeden önce ödeme koşulu 
değiştirildiğinde, vadeye bağlı olarak değişen fiyat 
sistemde otomatik olarak güncellenmelidir.","[-0.04989731  0.02956445  0.0350376   0.03016733 -0.06795386 -0.05061205
  0.05774211  0.06900232 -0.00526333 -0.0758028 ]"
"değiştirildiğinde, vadeye bağlı olarak değişen fiyat 
sistemde otomatik olarak güncellenmelidir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Ödeme Planı
Tamamen karşılar
A.5.1.12
 - Serbest bolgede olan urunler aktif stokta 
gozukebilmeli ve ayri bir depoda islem gorebilmeli
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.1.13
 - Musteriler icin girilen teklif ve uretilen siparislerde 
sirketin genel tanimlamasi disinda vade yapilamamalidir.","[-0.005613    0.03828726 -0.0047769   0.00187109 -0.11131512 -0.04586545
  0.07781352  0.07318052  0.02804158 -0.00369519]"
"sirketin genel tanimlamasi disinda vade yapilamamalidir. 
Bu tip vadeli islemlerde SM veya GM'nin yetkisi 
dahilinde bir onay mekanizmasi olmalidir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Onay Mekanizması
Tamamen karşılar
A.5.1.14
- Finans ve Satis tarafindan belirlenecek vade ile 
musteriye ozel vade sistemde tanimlanabilmelidir.  Bu 
tip ozel durumlar disinda miktara gore vade standart 
olmalidir, bunun disindaki islemlere ( teklif ve Siparis) 
sistem izin vermemelidir.","[-0.03566193  0.01702052 -0.03085721 -0.0186924  -0.07385771 -0.00806793
  0.05007986  0.10242391 -0.00841443 -0.0359732 ]"
"olmalidir, bunun disindaki islemlere ( teklif ve Siparis) 
sistem izin vermemelidir.
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Onay Mekanizması
Tamamen karşılar
A.5.2
Install / Uninstall
A.5.2.1
a) Uretim planina bagli olarak stoktaki bir urunden 
sokulecek ve depoya gidecek bir parca daha sonraki 
siparislerin planlanmasinda gorulebilmeli
Olmazsa 
olmaz
Uzerinde islem yapilmak uzere depo'dan cikan urunlerden depo'ya geri gidecek olan urunler aktif","[-0.00325803  0.05728862 -0.00893199 -0.03259273 -0.07530683 -0.07668134
  0.07042331  0.03591254  0.0319207  -0.0422296 ]"
"Uzerinde islem yapilmak uzere depo'dan cikan urunlerden depo'ya geri gidecek olan urunler aktif 
stokta gorulebilmeli. Su anki durumda uretim depoya alinan urunler stoktan dusuyor ve sonra tekrar 
stoga geri geliyor.  Sakincalari, baska bir urunun uzerinde olan parca icin tedarik acilma ihtimali 
sozkonusu.
Paralı Ek Danışmanlık 
ile yapılır
Addon-Install/Uninstall
Tamamen karşılar
A.5.2.2
b) Uzerinden parca sokulerek planlanacak urunler icin","[-0.03042775  0.02924208 -0.0223556  -0.08980039 -0.08489118 -0.06308132
  0.0374612   0.05200868  0.05108322  0.00067811]"
"Tamamen karşılar
A.5.2.2
b) Uzerinden parca sokulerek planlanacak urunler icin 
satis siparisi girilirken sokulecek parcaya siparis 
ekraninda sokulme fiyati girilebilmeli ve gerceklesen 
sokum islemiyle urun maliyetinden bu fiyat dusmelidir.
Olmazsa 
olmaz
Ancak yetkili kisilerin onayi ile yapilabilmeli, standart prosedur sistemdeki fiyat listesi uzerinden 
olmali. (Urun Muduru, SM, GM)
Paralı Ek Danışmanlık 
ile yapılır
Addon-Install/Uninstall
Tamamen karşılar
A.5.2.3","[-0.04992832  0.00807463  0.01302253 -0.07973043 -0.06625558 -0.02911633
  0.02361994  0.03366953  0.03866221 -0.01898772]"
"Paralı Ek Danışmanlık 
ile yapılır
Addon-Install/Uninstall
Tamamen karşılar
A.5.2.3
c) Uninstall edilen ürün parçaları, Uninstall edilen 
ürünler ayrı depolardan (sanal depolar) takip edilebilmeli
Olmazsa 
olmaz
Paralı Ek Danışmanlık 
ile yapılır
Addon-Install/Uninstall
Tamamen karşılar
A.5.3
Sipariş Takibi
A.5.3.1
a) Sipariş adım adım takip edilebilmeli
Olmazsa 
olmaz
Alinan siparis sistemde kaydedildikten sonra statu takibi yapilabilme yetenegi
Tamamen Karşılar
Tamamen karşılar
A.5.3.2","[-0.05777383 -0.02300187  0.04094757 -0.07530825 -0.08347536 -0.05568009
  0.0317197   0.03934797  0.0316095  -0.02748537]"
"Tamamen Karşılar
Tamamen karşılar
A.5.3.2
b) Yapılan değişiklikler (kim, ne zaman, değişikliğin 
içeriği) historic olarak takip edilebilmeli
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.3.3
c) Her bir alt surec icin sonlanma suresi belirlenmesi
Olmazsa 
olmaz
Tamamen Karşılar
Tamamen karşılar
A.5.3.4
d) Musterilere opsiyonel olarak web uzerinden kendi 
siparislerinin durumunu takip etme imkani olmali.
Olsa iyi olur
Paralı Ek Danışmanlık 
ile yapılır
Addon-WEB
Tamamen karşılar
A.5.3.5","[-0.07488482  0.03881273  0.03692116 -0.03087631 -0.09074344 -0.06845994
  0.04209923  0.02003385  0.02671404 -0.00254988]"
"Olsa iyi olur
Paralı Ek Danışmanlık 
ile yapılır
Addon-WEB
Tamamen karşılar
A.5.3.5
e) Sistem, siparislerin statu (Sirket icin statu 
degisiklikleri - orn. Muhasebe'de, planlamada, 
sevkiyatta, uretimde, tedarik'te)  degisiklikleri belli 
sureleri astigi takdirde Satis temsilcilerine uyari mesaji 
atabilmeli.
Olmazsa 
olmaz
Musteri temsilcisinin ancak belli sure asimi oldugu durumlarda siparisle ilgili aksiyon almasini","[-0.04356961 -0.00378924 -0.05891452 -0.00314597 -0.09122273 -0.04302079
  0.09217463  0.05869576  0.01017035 -0.00662076]"
